path,class,caption_idx,images_used,object_description,fragment_location,fracture_surface,missing_piece_size,break_type,fragment_guess,confidence,caption,parse_error,raw_output,elapsed_s
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]","A circular plate with a slightly raised edge and a central indentation, possibly for a utensil holder.","On the right side, at the bottom of the plate's rim.","A thin curved strip, about 10% of the surface, curving along the rim.",Tiny chip,A small chip from the rim due to impact.,A curved rim segment,high,A plate with a small chip from its rim.,FALSE,"{
  ""object_description"": ""A circular plate with a slightly raised edge and a central indentation, possibly for a utensil holder."",
  ""fragment_location"": ""On the right side, at the bottom of the plate's rim."",
  ""fracture_surface"": ""A thin curved strip, about 10% of the surface, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact."",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small chip from its rim.""
}",7.4
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]",A circular plate with a slightly raised rim and a flat base.,The lower section of the rim.,"A thin curved strip, about 10% of the rim's circumference, curving along the edge.",Tiny chip,A small chip from the rim due to impact,A curved rim segment,high,A plate with a small rim chip.,FALSE,"```json
{
  ""object_description"": ""A circular plate with a slightly raised rim and a flat base."",
  ""fragment_location"": ""The lower section of the rim."",
  ""fracture_surface"": ""A thin curved strip, about 10% of the rim's circumference, curving along the edge."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small rim chip.""
}
```",2.6
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]","A simple, circular plate with a slightly raised rim, smooth texture, and uniform thickness.",Bottom-right quadrant of the plate,"Thin curved strip, about 10% of the surface, curving along the rim",Tiny chip,A small chip from the rim due to impact,A curved rim segment,high,A plate with a small chip from its bottom-right rim.,FALSE,"{
  ""object_description"": ""A simple, circular plate with a slightly raised rim, smooth texture, and uniform thickness."",
  ""fragment_location"": ""Bottom-right quadrant of the plate"",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim"",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small chip from its bottom-right rim.""
}",3.6
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]","The intact object is a circular plate with a slightly raised rim, uniform thickness, and no visible ornamentation.",The piece broke off the lower right edge of the plate's base.,"The fracture is thin, curved, and located along the rim's outer edge, indicating a clean break.","The missing fragment appears very small, less than 5% of the plate's area.","A small, clean break occurred along the plate's rim due to a localized force.",The missing piece likely looked like a curved rim segment.,high,A plate with a clean break along its rim.,FALSE,"{
  ""object_description"": ""The intact object is a circular plate with a slightly raised rim, uniform thickness, and no visible ornamentation."",
  ""fragment_location"": ""The piece broke off the lower right edge of the plate's base."",
  ""fracture_surface"": ""The fracture is thin, curved, and located along the rim's outer edge, indicating a clean break."",
  ""missing_piece_size"": ""The missing fragment appears very small, less than 5% of the plate's area."",
  ""break_type"": ""A small, clean break occurred along the plate's rim due to a localized force."",
  ""fragment_guess"": ""The missing piece likely looked like a curved rim segment."",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a clean break along its rim.""
}",3.8
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair04.png""]",A circular plate with a slightly raised rim and a flat center. The rim appears to have a slight groove or texture around its edge.,The top-center of the plate's rim.,"A thin, curved strip, about 10% of the rim's circumference, curving along the upper edge of the rim.",A small shard ~5% of the object.,"A clean horizontal break across the top-center of the rim, likely due to stress or impact.","A curved rim segment, roughly triangular in cross-section.",high,A plate with a clean horizontal break at the top-center of its rim.,FALSE,"{
  ""object_description"": ""A circular plate with a slightly raised rim and a flat center. The rim appears to have a slight groove or texture around its edge."",
  ""fragment_location"": ""The top-center of the plate's rim."",
  ""fracture_surface"": ""A thin, curved strip, about 10% of the rim's circumference, curving along the upper edge of the rim."",
  ""missing_piece_size"": ""A small shard ~5% of the object."",
  ""break_type"": ""A clean horizontal break across the top-center of the rim, likely due to stress or impact."",
  ""fragment_guess"": ""A curved rim segment, roughly triangular in cross-section."",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a clean horizontal break at the top-center of its rim.""
}",4.2
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_18/piece_0_pair04.png""]","A circular plate with a slightly raised rim, possibly with decorative grooves or texture.",Bottom edge of the plate,"Thin curved strip, about 10% of the surface, curving along the rim.",Small shard ~5% of the object,A small chip from the rim due to impact,A curved rim segment,high,A plate with a small curved fragment removed from its lower edge.,FALSE,"```json
{
  ""object_description"": ""A circular plate with a slightly raised rim, possibly with decorative grooves or texture."",
  ""fragment_location"": ""Bottom edge of the plate"",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim."",
  ""missing_piece_size"": ""Small shard ~5% of the object"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small curved fragment removed from its lower edge.""
}
```",3.4
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair04.png""]",The intact object is a circular plate with a slightly raised rim and a flat base.,The piece broke off from the upper section of the rim.,"The fracture is a thin curved strip, about 10% of the rim's circumference, curving along the rim.",A small shard ~5% of the object.,A clean horizontal break across the rim due to impact.,A curved rim segment.,high,A plate with a small shard removed from its upper rim.,FALSE,"```json
{
  ""object_description"": ""The intact object is a circular plate with a slightly raised rim and a flat base."",
  ""fragment_location"": ""The piece broke off from the upper section of the rim."",
  ""fracture_surface"": ""The fracture is a thin curved strip, about 10% of the rim's circumference, curving along the rim."",
  ""missing_piece_size"": ""A small shard ~5% of the object."",
  ""break_type"": ""A clean horizontal break across the rim due to impact."",
  ""fragment_guess"": ""A curved rim segment."",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small shard removed from its upper rim.""
}
```",2.9
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_5/piece_0_pair04.png""]","A circular plate with a slightly raised edge, possibly designed for serving food.",Bottom-right corner of the plate's lower base.,"Thin curved strip, about 10% of the surface, curving along the rim.",Tiny chip,A small chip from the rim due to impact.,A curved rim segment,medium,A plate with a small chip from its lower rim.,FALSE,"```json
{
  ""object_description"": ""A circular plate with a slightly raised edge, possibly designed for serving food."",
  ""fragment_location"": ""Bottom-right corner of the plate's lower base."",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact."",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""medium"",
  ""caption"": ""A plate with a small chip from its lower rim.""
}
```",6.2
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair04.png""]",The intact object is a circular plate with a slightly raised rim and a flat center.,The piece broke off from the lower section of the rim.,"The orange highlight shows a thin curved strip along the edge of the rim, indicating a clean separation.","The missing fragment is small, likely less than 10% of the plate's area.","The break appears to be a clean, curved separation along the rim due to stress or impact.","The missing fragment would be a short, curved piece from the lower part of the rim.",high,A circular plate with a small piece broken off from the lower rim.,FALSE,"```json
{
  ""object_description"": ""The intact object is a circular plate with a slightly raised rim and a flat center."",
  ""fragment_location"": ""The piece broke off from the lower section of the rim."",
  ""fracture_surface"": ""The orange highlight shows a thin curved strip along the edge of the rim, indicating a clean separation."",
  ""missing_piece_size"": ""The missing fragment is small, likely less than 10% of the plate's area."",
  ""break_type"": ""The break appears to be a clean, curved separation along the rim due to stress or impact."",
  ""fragment_guess"": ""The missing fragment would be a short, curved piece from the lower part of the rim."",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small piece broken off from the lower rim.""
}
```",4.5
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_23/piece_0_pair04.png""]","Circular plate with a slightly raised rim and a central boss, resembling a lid or cover.","On the right plate's rim, near the top edge.","Thin curved strip, about 10% of the rim, curving along the edge.","Small chip, roughly 10% of the rim's circumference.",Clean horizontal break across the rim due to stress or impact.,"A curved rim segment, possibly with the boss attached.",high,A circular plate with a small rim chip near the top.,FALSE,"```json
{
  ""object_description"": ""Circular plate with a slightly raised rim and a central boss, resembling a lid or cover."",
  ""fragment_location"": ""On the right plate's rim, near the top edge."",
  ""fracture_surface"": ""Thin curved strip, about 10% of the rim, curving along the edge."",
  ""missing_piece_size"": ""Small chip, roughly 10% of the rim's circumference."",
  ""break_type"": ""Clean horizontal break across the rim due to stress or impact."",
  ""fragment_guess"": ""A curved rim segment, possibly with the boss attached."",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small rim chip near the top.""
}
```",3.1
