path,class,caption_idx,images_used,object_description,fragment_location,fracture_surface,missing_piece_size,break_type,fragment_guess,confidence,caption,parse_error,raw_output,elapsed_s
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]","A circular plate with a raised rim. The top edge is smooth, and the base appears slightly concave.",Outer rim,"Thin curved strip, about 10% of the rim's circumference, curving along the rim.",Tiny chip,"A small chip from the rim due to impact, likely caused by an external force.","A curved rim segment, matching the curvature of the plate's outer edge.",medium,A plate with a small chipped piece removed from its outer rim.,False,"```json
{
  ""object_description"": ""A circular plate with a raised rim. The top edge is smooth, and the base appears slightly concave."",
  ""fragment_location"": ""Outer rim"",
  ""fracture_surface"": ""Thin curved strip, about 10% of the rim's circumference, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact, likely caused by an external force."",
  ""fragment_guess"": ""A curved rim segment, matching the curvature of the plate's outer edge."",
  ""confidence"": ""medium"",
  ""caption"": ""A plate with a small chipped piece removed from its outer rim.""
}
```",3.4
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]",Circular plate with a slightly raised rim and a central indentation.,Outer rim,Thin curved strip; about 10% of the surface; curving along the rim.,Small shard ~5% of the object.,A small chip from the rim due to impact.,A curved rim segment.,high,A circular plate with a small chip from its outer rim.,False,"```json
{
  ""object_description"": ""Circular plate with a slightly raised rim and a central indentation."",
  ""fragment_location"": ""Outer rim"",
  ""fracture_surface"": ""Thin curved strip; about 10% of the surface; curving along the rim."",
  ""missing_piece_size"": ""Small shard ~5% of the object."",
  ""break_type"": ""A small chip from the rim due to impact."",
  ""fragment_guess"": ""A curved rim segment."",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small chip from its outer rim.""
}
```",2.5
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,2,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]",The intact plate is circular with a flat top and slightly raised edge. It has uniform thickness and a smooth surface.,"From the outer rim, extending slightly inward towards the center.","Thin curved strip, about 10% of the plate's surface, curving along the rim.",Tiny chip,"A small chip from the rim due to impact, possibly from a drop or collision.","A curved rim segment with some thickness, matching the curvature of the plate's edge.",high,A circular plate with a small chip removed from its outer rim.,False,"{
  ""object_description"": ""The intact plate is circular with a flat top and slightly raised edge. It has uniform thickness and a smooth surface."",
  ""fragment_location"": ""From the outer rim, extending slightly inward towards the center."",
  ""fracture_surface"": ""Thin curved strip, about 10% of the plate's surface, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact, possibly from a drop or collision."",
  ""fragment_guess"": ""A curved rim segment with some thickness, matching the curvature of the plate's edge."",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small chip removed from its outer rim.""
}",3.5
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,3,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]","Circular plate with a slightly raised edge, resembling a shallow bowl. The inner part is concave, and the outer rim is smooth and rounded.",Outer rim,"Thin curved strip, about 10% of the surface, curving along the rim.",Tiny chip,A small chip from the rim due to impact,A curved rim segment,high,A circular plate with a small chip from the outer rim.,False,"{
  ""object_description"": ""Circular plate with a slightly raised edge, resembling a shallow bowl. The inner part is concave, and the outer rim is smooth and rounded."",
  ""fragment_location"": ""Outer rim"",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small chip from the outer rim.""
}",3.0
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0.obj,Plate,4,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_11/piece_0_pair04.png""]","A circular plate with a slightly raised rim, uniform thickness throughout. The design suggests it's functional rather than decorative, possibly for serving food or beverages.","The fracture occurs at the lower edge of the rim, just above where it joins the plate's base.","The fracture is a thin, curved strip, about 10% of the surface area, curving along the rim towards the center of the plate.","A small shard, approximately 5% of the plate's circumference.","A small chip from the rim due to impact, possibly from a dropped object or sharp edge.","The missing fragment likely looked like a curved rim segment, potentially with some of the base material still attached.",high,A plate with a small curved rim fragment missing due to an impact.,False,"{
  ""object_description"": ""A circular plate with a slightly raised rim, uniform thickness throughout. The design suggests it's functional rather than decorative, possibly for serving food or beverages."",
  
  ""fragment_location"": ""The fracture occurs at the lower edge of the rim, just above where it joins the plate's base."",
  
  ""fracture_surface"": ""The fracture is a thin, curved strip, about 10% of the surface area, curving along the rim towards the center of the plate."",
  
  ""missing_piece_size"": ""A small shard, approximately 5% of the plate's circumference."",
  
  ""break_type"": ""A small chip from the rim due to impact, possibly from a dropped object or sharp edge."",
  
  ""fragment_guess"": ""The missing fragment likely looked like a curved rim segment, potentially with some of the base material still attached."",
  
  ""confidence"": ""high"",
  
  ""caption"": ""A plate with a small curved rim fragment missing due to an impact.""
}",3.6
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,0,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]",The intact object is a circular plate with a slightly raised rim. The base is flat and the rim has a gentle curve. There are no visible markings or decorations.,The piece broke off from the outer rim of the plate.,"The fracture surface is a thin curved strip, about 10% of the rim's circumference, curving along the edge.",The missing fragment is tiny chip.,A small chip from the rim due to impact.,The missing fragment likely looked like a curved rim segment.,high,A circular plate with a small chipped rim.,False,"{
  ""object_description"": ""The intact object is a circular plate with a slightly raised rim. The base is flat and the rim has a gentle curve. There are no visible markings or decorations."",
  ""fragment_location"": ""The piece broke off from the outer rim of the plate."",
  ""fracture_surface"": ""The fracture surface is a thin curved strip, about 10% of the rim's circumference, curving along the edge."",
  ""missing_piece_size"": ""The missing fragment is tiny chip."",
  ""break_type"": ""A small chip from the rim due to impact."",
  ""fragment_guess"": ""The missing fragment likely looked like a curved rim segment."",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small chipped rim.""
}",3.7
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,1,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]",Circular plate with a slightly raised rim. The plate appears uniform in thickness throughout.,Outer rim,Thin curved strip; about 5% of the plate's circumference.,Tiny chip,"A small chip from the rim due to impact, likely from a sharp object.",A curved rim segment,high,A circular plate with a small fracture on the outer rim.,False,"```json
{
  ""object_description"": ""Circular plate with a slightly raised rim. The plate appears uniform in thickness throughout."",
  ""fragment_location"": ""Outer rim"",
  ""fracture_surface"": ""Thin curved strip; about 5% of the plate's circumference."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact, likely from a sharp object."",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a small fracture on the outer rim.""
}
```",2.8
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,2,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]",A circular plate with a slightly raised rim and a flat base.,Outer rim of the plate.,"Thin curved strip, about 10% of the surface, curving along the rim.",Tiny chip,A small chip from the rim due to impact,A curved rim segment,high,A circular plate with a tiny chip from its outer rim.,False,"```json
{
  ""object_description"": ""A circular plate with a slightly raised rim and a flat base."",
  ""fragment_location"": ""Outer rim of the plate."",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim."",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A circular plate with a tiny chip from its outer rim.""
}
```",2.4
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,3,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]","Circular plate with a slightly raised edge, smooth and even in texture, symmetrical in design with no additional features like handles or holes.",Upper central portion of the plate's rim,"Thin curved strip, about 10% of the surface, curving along the rim",Small shard ~5%,A small chip from the rim due to impact,A curved rim segment,high,A plate with a small rim chip from an impact.,False,"{
  ""object_description"": ""Circular plate with a slightly raised edge, smooth and even in texture, symmetrical in design with no additional features like handles or holes."",
  ""fragment_location"": ""Upper central portion of the plate's rim"",
  ""fracture_surface"": ""Thin curved strip, about 10% of the surface, curving along the rim"",
  ""missing_piece_size"": ""Small shard ~5%"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small rim chip from an impact.""
}",6.2
out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0.obj,Plate,4,"[""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_overview_pair.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair00.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair01.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair02.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair03.png"", ""out/everyday/Plate/1389e932a2c776d83c143af07c12991a/fractured_17/piece_0_pair04.png""]","A circular plate with a slightly raised edge, possibly decorative or functional.",Upper section of the rim,"Thin curved strip; about 10% of the surface, curving along the rim",Tiny chip,A small chip from the rim due to impact,A curved rim segment,high,A plate with a small broken rim segment,False,"```json
{
  ""object_description"": ""A circular plate with a slightly raised edge, possibly decorative or functional."",
  ""fragment_location"": ""Upper section of the rim"",
  ""fracture_surface"": ""Thin curved strip; about 10% of the surface, curving along the rim"",
  ""missing_piece_size"": ""Tiny chip"",
  ""break_type"": ""A small chip from the rim due to impact"",
  ""fragment_guess"": ""A curved rim segment"",
  ""confidence"": ""high"",
  ""caption"": ""A plate with a small broken rim segment""
}
```",2.7
